,Source User id,Following id
4993,110196248036894523,"[109902661905552119, 109526612744175659, 109371582394530985, 109292265531820117, 109321195330760627, 109507663266046984, 514772, 1069546, 543083, 108193029195439611, 108170678522965238, 108193965114805019, 109313105755069472, 1024822, 1, 542821, 456333, 1053074, 108192636723467072, 551784, 109312977974273371, 108199251261311718, 108194135973183030, 109312926434105839, 1047215, 544117, 544466, 550617, 533990, 33215, 108136889026381100, 544572, 545271, 546958, 583258, 108131205923482431, 1023949, 108194229176348464, 545288, 549299]"
8127,109879469390329938,"[110241962047276074, 1134271, 442132, 110179992650648545, 110110893202998415, 110235944975201250, 1046210, 109251860506130968, 108140570179203152, 110235159320527186, 109219449129200488, 340231, 108222419986466608, 110000267401219889, 109251088201008636, 110160197694095544, 902176, 108426378297211340, 110168594785460077, 908190, 283372, 109364929424169476, 109364673640507800, 109365419395469426, 109364290238069240, 1048277, 110140800772798645, 108199303183704902, 108130375858244497, 107893772122947593, 109224415414500824, 108132870587144671, 110067096380816515, 106725417747084594, 109361547714433257, 1078664, 106563906021572386, 1065555, 1185988, 1060864]"
3032,108227009952951715,"[110262240063077549, 110203513914502679, 109988540026929223, 109886063630976437, 109875865053887506, 109693635564812408, 109796454991277708, 109361306264413907, 109737753209352097, 109248537697496312, 707187, 109245453515311893, 109245409174906070, 109363407281840520, 1067248, 109247447988676889, 41529, 109501514153895285, 108208991656075221, 109259715560480271, 109320106024808280, 109298945966242947, 544662, 109327336643977119, 1102, 10908, 109364856238676445, 109284522191542752, 109292402224799754, 109299823940997949, 109302377327482422, 109395812356483683, 109309109443472350, 109370278941281840, 109400066975173826, 109343570466480984, 109365598838793175, 108146604125324926, 549252, 379836]"
7938,109852366601065202,"[110306619769926403, 109902661905552119, 109526612744175659, 109355700962815786, 548580, 1077167, 13179, 1044339, 1044911, 1047436, 1047592, 1047500, 1049621, 1051592, 1052230, 284468, 1049938, 1049850, 1054841, 543532, 849081, 502969, 1051239, 1055748, 1048867, 1013088, 1050285, 1057027, 1055527, 386159, 1059680, 387550, 939409, 108220415944877782, 1062592, 1056053, 106862593371055771, 502911, 109245724693635547, 390513]"
3039,109960190035720131,"[1097964, 1048630, 108220888800087924, 1197713, 1056481, 544451, 109244920406180678, 1051592, 108196218858703839, 1055195]"
9655,110243729250485192,"[110276902699499334, 110270958626096826, 110270167180406899, 109950039874540853, 1057924, 109287641502888199, 109971944805158840, 109837105147818484, 108137823676397083, 109400322194013030, 109902661905552119, 109384203544512731, 109877395519278078, 109857546717203605, 109853402464919300, 109845893070362367, 109811454033946191, 109839806315492187, 109813837805261887, 1049967, 109616641171818412, 109292246192401711, 109631538050339810, 108137954257579251, 109614529620859055, 109526612744175659, 109587520345893577, 108146726358459080, 109577345755249072, 1047215, 512082, 109546721595532649, 109529250669366912, 108267641778583797, 108193965114805019, 108220888800087924, 1197713, 109303032635271631, 107241257526679382, 109327575724734266]"
2545,108326805067117558,"[109245493701529453, 110234196158251919, 545271, 110234441831324893, 109259296548994894, 110148026986212497, 109257722985061490, 109984041894022197, 225094, 108296538789124852, 109515037453915631, 408330, 109362144644349392, 471607, 109903480376237765, 109865025092396275, 1185988, 109536844090072879, 429506, 109853251441850738, 109501009089847386, 109430819169957453, 414314, 109802922471636324, 109837654950493926, 109836009136540000, 109472270343460751, 42377, 109823585187651228, 522983, 109806756500231899, 422878, 368853, 1039056, 10908, 29966, 261948, 109536492047670076, 37601, 433566]"
2592,26797,"[109312926434105839, 110266162634306901, 273846, 109354084983291357, 412906, 108154682543360297, 108197626201842513, 109537504134917132, 109224415414500824, 108199025079250163, 108211302529819346, 106862593371055771, 109326835262387025, 2400, 108199052370473764, 109509471155165535, 109288075101170190, 109570709372416176, 109316654422801756, 109382697261828852, 109326604553644091, 109357166993024912, 109303948503332365, 109321289342263867, 109284076441216230, 108220888800087924, 109292358008530998, 109355700962815786, 109289422732903572, 109373453127262676, 109377289334367778, 109378659853398902, 109377097867443805, 109332155625880194, 109366313013490971, 109363522574341875, 109243623902756898, 109358766421839701, 1143496, 109338138460143612]"
1188,110199790936049802,"[110196249362809162, 109837565282378859, 512082, 108449531775817749, 109987408644424233, 110203513914502679, 109372772032772907, 543083, 109313105755069472, 583258, 108220888800087924, 109465348402743886, 109358766421839701, 2400, 109308939225906922, 776452, 1373947, 310441, 1326809, 263621, 108194863260762493, 13895, 1066765, 109280898862071406, 108589220739574192, 1053207, 1054946, 107756193671486562, 719236, 107422379206022658, 108221637382595451, 1087437, 543153, 1, 1094490, 386159, 563489, 502911, 544572, 1058778]"
7966,109253076559557048,[]
